TYPE,TYPE_VERSION,YEAR,QUARTER,URL,MD5SUM
aers,b,2012,2,https://web.archive.org/web/20151230235839/http://www.fda.gov:80/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/UCM319844.zip,2a5b1885f57adbdc6c8b12fbf31accdc
aers,b,2012,3,https://web.archive.org/web/20151230235839/http://www.fda.gov:80/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/UCM337616.zip,0212c871725bc654ebf448440c839280
faers,a,2012,4,https://web.archive.org/web/20151210175556/https://www.fda.gov/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/UCM364757.zip,aa5b817a0e735c12025566374ee007fe
faers,a,2013,1,https://web.archive.org/web/20151210175556/https://www.fda.gov/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/UCM387233.zip,d966aa8ce5b4556f2e7af2e10313b14a
faers,a,2013,2,https://web.archive.org/web/20151210175556/https://www.fda.gov/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/UCM395994.zip,5a2fbd4698badf68dc5b3939efbccc78
faers,a,2013,3,https://web.archive.org/web/20151210175556/https://www.fda.gov/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/UCM399592.zip,7a1e588a4a6d90fa46e0c9a612f260c1
faers,a,2013,4,https://web.archive.org/web/20151210175556/https://www.fda.gov/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/UCM409890.zip,76e6010c27c0e2962830507a18de451c
faers,a,2014,1,https://web.archive.org/web/20151210175556/https://www.fda.gov/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/UCM419914.zip,eda2dda9686dd5312493fe1fe52f77ec
faers,a,2014,2,https://www.fda.gov/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/UCM429323.zip,6dd3adffc645f7c43c20172c0c922771
faers,b,2014,3,https://www.fda.gov/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/UCM443579.zip,61dfed6279041128af4a0bbd811e4ac7
faers,b,2014,4,https://www.fda.gov/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/UCM451489.zip,54f31fa62818baa4f886cfceb3ee06ad
faers,b,2015,1,https://www.fda.gov/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/UCM458083.zip,10c30a005b3bf218250efd08a4543ba4
faers,b,2015,2,https://www.fda.gov/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/UCM463272.zip,2134ad042bec71d38d9c2c3552612c1a
faers,b,2015,3,https://www.fda.gov/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/UCM477190.zip,9bc2349d7371dca2aad6b7a3762777fe
faers,b,2015,4,https://www.fda.gov/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/UCM492340.zip,f3a9fdbf72346d4597849f0ba8297fa3
faers,b,2016,1,https://www.fda.gov/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/UCM509489.zip,11d5dcc9f7cf0cf8c0255525ed503319
faers,b,2016,2,https://www.fda.gov/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/UCM521951.zip,217a9c8bb90235872a6f90e971d26fec
faers,b,2016,3,https://www.fda.gov/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/UCM534900.zip,99ab086c0d7ddb39b5e6405849c371a7
faers,b,2016,4,https://www.fda.gov/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/UCM546946.zip,cbb6235b0e48e570c45dd6e86c425cb9
faers,b,2017,1,https://www.fda.gov/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/UCM562290.zip,6f38e8395ad24bc36d27372adbafdfa1
faers,b,2017,2,https://www.fda.gov/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/UCM578242.zip,0513b1df92f13fe577ade92661e12512
faers,b,2017,3,https://www.fda.gov/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/UCM590948.zip,18fd6c41535f32013d47c48654a193e5
